Program Name,University,Degree,Grade Range,Experiential Learning,Enrollment,Instruction Language
Studio Art,University of Guelph,"Bachelor of Arts, BA",75 to 80%,Class-based experiential education,N/A,English
Sustainability,Ontario Tech University,"Bachelor of Arts, BA
Bachelor of Science, BSc",mid-70s,Not Available,N/A,English
Sustainability and Financial Management (Co-op only),University of Waterloo,"Bachelor of Sustainability and Financial Management, BSFM",Mid-80s,Co-op program,80,English
Sustainable Agriculture and Food Systems (BA),Trent University,"Bachelor of Arts, BA",70%,Practicum or internship option available,200,English
Sustainable Agriculture and Food Systems (BSc),Trent University,"Bachelor of Science, BSc",70%,Practicum or internship option available,200,English
Sustainable Environmental Management (BES),York University,"Bachelor of Environmental Studies, BES",Mid-70s,Class-based experiential education,40										Open,English
Systems Design Engineering (Co-op Only),University of Waterloo,"Bachelor of Applied Science, BASc",High 80s to low 90s,Co-op program,90,English
Teacher Education Stream – Arts (Honours),Trent University,"Bachelor of Arts, BA",75% minimum,Practicum or internship option available,200,English
Teacher Education Stream – Arts (Honours),Trent University – Durham Greater Toronto Area,"Bachelor of Arts/Bachelor of Education, BA/BEd",75%,Practicum or internship option available,75,English
Teacher Education Stream – Science (Honours),Trent University – Durham Greater Toronto Area,"Bachelor of Science, BSc",75%,Practicum or internship option available,75,English
Teacher Education Stream – Science (Honours),Trent University,"Bachelor of Science, BSc",75% minimum,Practicum or internship option available,200,English
Technology Management - Bachelor of Commerce (Co-op),Ontario Tech University,"Bachelor of Commerce (Co-op), BCom (Co-op)",Low 70s,Co-op program,250,English
Technology Management – Bachelor of Commerce,Ontario Tech University,"Bachelor of Commerce, BCom",Low 70s,Co-op or internship option available,500,English
Technology Management – Bachelor of Information Technology,Ontario Tech University,"Bachelor of Information Technology, BIT",Low 70s,Co-op or internship option available,30,English
Thanatology,Western University – King's University College,"Bachelor of Arts, BA",80%,Class-based experiential education,60,English
Theatre (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts, BA",+/- 75 %,Class-based experiential education,22,English
"Theatre (BA, BFA)",York University,"Bachelor of Arts, BA
Bachelor of Fine Arts, BFA",High 70s to mid-80s,Not Available,125										Open,English
Theatre - Performance Creation (BFA),York University,"Bachelor of Fine Arts, BFA",Mid-70s,Class-based experiential education,Open,English
Theatre and Drama (Joint Program with Sheridan College),University of Toronto Mississauga,"Bachelor of Arts, BA
Diploma, Dipl.",Low 80s,Practicum or internship option available,25,English
Therapeutic Recreation,Brock University,"Bachelor of Therapeutic Recreation, BTR",Mid-70s,Practicum or internship option available,665										(total all Applied Health Sciences programs),English
Tourism Studies,Brock University,"Bachelor of Arts, BA",Mid-70s,Co-op option available with this program,"1,364										(total for all Social Science programs)",English
"TrackOne, Undeclared Engineering",University of Toronto,"Bachelor of Applied Science, BASc",Low to mid 90s,Co-op or internship option available,N/A,English
Trent ESL: English for University,Trent University,"Certificate, Cert",N/A,Not Available,200,English
Turfgrass Management (Associate Diploma program),University of Guelph,"Diploma, Dipl.",65 to 70%,Co-op program,N/A,English
"Undecided Major (BSc, First Year Only)",York University,"Bachelor of Science, BSc",Low to mid-80s,Not Available,50										Open,English
Undeclared Arts (First Year Studies Only),Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Arts, BA",Mid 70s,Not Available,95,English
Undeclared Engineering (First Semester Studies Only),Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Engineering, BEng",Mid-80s,Not Available,100,English
Undeclared Major (BA 4 Year),Algoma University,"Bachelor of Arts, BA",65% +,Not Available,This is an open enrollment program. First-year admissions are not capped.,English
Undeclared Major (BA),York University,"Bachelor of Arts, BA",Mid- to High 70s,Not Available,400										Open,English
Undeclared Major (BA/BES),York University,"Bachelor of Arts, BA
Bachelor of Environmental Studies, BES",Mid- to high 70s,Class-based experiential education,40										Open,English
Urban and Regional Planning,Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Urban and Regional Planning, BURPI",High 70s,Field placement,120,English
User Experience Design (BDes),Wilfrid Laurier University – Brantford Campus,"Bachelor of Design, BDes",Low 70s,Co-op option available with this program,557										(all Faculty of Liberal Arts programs combined),English
User Experience Design (BDes) with Teaching Option,Wilfrid Laurier University – Brantford Campus,"Bachelor of Design, BDes",Low 70s,Co-op option available with this program,577										(all Faculty of Liberal Arts programs combined),English
Victimology and Victim Studies,Ontario Tech University,"Bachelor of Arts, BA",low 70s,Co-op available with a different program code,N/A,English
Victimology and Victim Studies (Co-op),Ontario Tech University,"Bachelor of Arts, BA",low 70s,Co-op program,N/A,English
"Visual & Performing Arts, Arts Management and Media",University of Toronto Scarborough,"Bachelor of Arts, BA",Mid-70s,Not Available,340,English
Visual Arts,Brock University,"Bachelor of Arts, BA",Mid-70s,Not Available,618										(total for all Humanities programs),English
Visual Arts,University of Windsor,"Bachelor of Arts, BA
Bachelor of Fine Arts, BFA",70–87%,Not Available,75										Enrollment for all Visual Arts programs,English
Visual Arts (4-year major) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts, BA",+/- 75 %,Class-based experiential education,62										The number of students enrolled in all the Visual Arts disciplines last year,English
Visual Arts (BA 3 year),Algoma University,"Bachelor of Arts, BA",65%+,Not Available,This is an open enrollment program. First-year admissions are not capped.,English
Visual Arts (BFA) (4 years),University of Ottawa,"Bachelor of Fine Arts, BFA",+/- 75 %,Class-based experiential education,62										The number of students enrolled in all the Visual Arts disciplines last year,English
Visual Arts (Thunder Bay),Lakehead University,"Bachelor of Arts, BA
Bachelor of Fine Arts, BFA",70%,Not Available,Open Enrollment,English
Visual Arts - Art History (BA),York University,"Bachelor of Arts, BA",Mid- to high 70s,Practicum or internship option available,20										Open,English
Visual Arts - Studio (BFA),York University,"Bachelor of Fine Arts, BFA",Mid- to high 70s,Class-based experiential education,75										Open,English
Visual Studies,University of Toronto,"Bachelor of Arts, BA",Mid- to high 80s,Not Available,N/A,English
Visual Studies,University of Toronto Mississauga,"Bachelor of Arts, BA
Diploma, Dipl.",Mid to high 70s,Practicum or internship option available,60,English
Visual and Critical Studies (Art History),OCAD University,"Bachelor of Arts, BA",N/A,Practicum or internship option available,"1,100										(total first year enrollment in all programs)",English
Water Resource Science (Thunder Bay),Lakehead University,"Bachelor of Science, BSc",70%,Not Available,Open Enrollment,English
Water Resources Engineering (co-op and regular),University of Guelph,"Bachelor of Engineering, BEng",84 to 89%,Co-op option available with this program,N/A,English
Water Sciences,Trent University,"Bachelor of Science, BSc",70%,Practicum or internship option available,200,English
Wilson College of Leadership and Civic Engagement,McMaster University,"Bachelor of Arts, BA",Mid-80s,Embedded community engagement/volunteerism/partnership,40,English
Women's and Gender Studies,Brock University,"Bachelor of Arts, BA
Diploma, Dipl.",Mid-70s,Not Available,"1,364										(total for all Social Science programs)",English
Women's and Gender Studies,University of Windsor,"Bachelor of Arts, BA",70-89% minimum,Not Available,N/A,English
Work & Labour Studies (BA),York University,"Bachelor of Arts, BA",Mid-70s,Practicum or internship option available,20										Open,English
World Languages and Cultures (4-year major),University of Ottawa,"Bachelor of Arts, BA",+/- 75 %,Embedded community engagement/volunteerism/partnership,13,English
Youth & Children's Studies (BA),Wilfrid Laurier University – Brantford Campus,"Bachelor of Arts, BA",Low 70s,Field placement,577										(all Faculty of Liberal Arts programs combined),English
